Date,Group_ID,Observer_ID,Focal_type,focal ID,Time of arrival,Focal start time,Visibility,Focal activity start time,Activity,Species of tree,What part being eaten?,Part of fruit eaten,Seed eating activity,Tree number,Tree canopy height,Feeding start time,Feeding end time,Start time feeding rate,End time feeding rate,Amount eaten,Comments
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,1.0,0.2743055555555556,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Jumpa Sawit di transek RD/200
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.2777777777777778,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.28055555555555556,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Hangkang, cuaca berawan"
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.2847222222222222,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,1.0,0.28680555555555554,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Nyato puntik
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.2916666666666667,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,0.0,0.32222222222222224,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keberadaan Sawit sulit ditemukan oleh peneliti
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.3263888888888889,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Nyato puntik, cuaca menjadi cerah sedikit berawan"
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.3333333333333333,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.33611111111111114,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,1.0,0.3368055555555556,S,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Sawit melakukan sosial vocal duet (svoc duet) di Kayu lalas
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,1.0,0.3486111111111111,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selesai melakukan vocal duet (svoc duet), kemudian melanjutkan untuk jalan"
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.3541666666666667,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.36041666666666666,R,NA,NA,NA,NA,NA,tengah,NA,NA,NA,NA,NA,"Tutup kabali, cuaca berawan"
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.36527777777777776,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,1.0,0.36944444444444446,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Nyato puntik
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.375,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.38055555555555554,R,NA,NA,NA,NA,NA,tengah,NA,NA,NA,NA,NA,Bangaris
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.3861111111111111,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.39166666666666666,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Hangkang
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.3993055555555556,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.40694444444444444,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.4097222222222222,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.41041666666666665,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.4125,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rawit berjalan secara perlahan menuju kanal transek Tim api
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.4166666666666667,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urinasi dan defekasi di pohon Piais (Sampel tidak dikoleksi)
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.41805555555555557,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.41944444444444445,F,Akar kamunda,yl,NA,NA,NA,atas,0.41944444444444445,0.42083333333333334,NA,NA,NA,Terlihat Sawit memakan daun muda Akar kamunda di pohon Tagula
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.42083333333333334,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Tagula
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.42291666666666666,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.425,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Papung
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.42986111111111114,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.43194444444444446,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.43472222222222223,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.4395833333333333,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Papung
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.44375,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.4465277777777778,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Defekasi di pohon Lewang (Sampel tidak dikoleksi), cuaca berubah menjadii mendung dan berangin"
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.4479166666666667,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.44930555555555557,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Papung, cuaca berangin"
45659.0,Pribon,"Rama, Rahadi",FN,Sawit,0.2743055555555556,0.2743055555555556,2.0,0.45069444444444445,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sawit terlihat lompat keluar dari pohon Papung dan berjalan secara perlahan
