date,group_id,observer_id,focal_type,focal_id,time_of_arrival,focal_start_time,visibility,focal_activity_start_time,activity,species_of_tree,what_part_being_eaten,part_of_fruit_eaten,seed_eating_activity,tree_number,tree_canopy_height,feeding_start_time,feeding_end_time,start_time_feeding_rate,end_time_feeding_rate,amount_eaten,comments
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T06:35:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Jumpa Sawit di transek RD/200
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T06:40:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T06:44:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Hangkang, cuaca berawan"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T06:50:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T06:53:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Nyato puntik
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T07:00:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,0,2025-01-02T07:44:00Z,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keberadaan Sawit sulit ditemukan oleh peneliti
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T07:50:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,"Nyato puntik, cuaca menjadi cerah sedikit berawan"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T08:00:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T08:04:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T08:05:00Z,S,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Sawit melakukan sosial vocal duet (svoc duet) di Kayu lalas
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T08:22:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Selesai melakukan vocal duet (svoc duet), kemudian melanjutkan untuk jalan"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T08:30:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T08:39:00Z,R,NA,NA,NA,NA,NA,tengah,NA,NA,NA,NA,NA,"Tutup kabali, cuaca berawan"
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T08:46:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,1,2025-01-02T08:52:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Nyato puntik
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:00:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:08:00Z,R,NA,NA,NA,NA,NA,tengah,NA,NA,NA,NA,NA,Bangaris
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:16:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:24:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Hangkang
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:35:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:46:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:50:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:51:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Meranti
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T09:54:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rawit berjalan secara perlahan menuju kanal transek Tim api
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:00:00Z,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Urinasi dan defekasi di pohon Piais (Sampel tidak dikoleksi)
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:02:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:04:00Z,F,Akar kamunda,yl,NA,NA,NA,atas,2025-01-02T10:04:00Z,2025-01-02T10:06:00Z,NA,NA,NA,Terlihat Sawit memakan daun muda Akar kamunda di pohon Tagula
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:06:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Tagula
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:09:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:12:00Z,R,NA,NA,NA,NA,NA,atas,NA,NA,NA,NA,NA,Papung
2025-01-02,Pribon,"Rama, Rahadi",FN,Sawit,2025-01-02T06:35:00Z,2025-01-02T06:35:00Z,2,2025-01-02T10:19:00Z,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
